subgenus Drosophila	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
subgenus Drosophila	GO:0051234	1.63460299922554E-08	1	3	3	establishment of localization	BP	1.98604264405903E-06	BP establishment of localization	group8518, group9250, group2649
subgenus Drosophila	GO:0032991	2.55271575178059E-08	0.999999999764441	5	57	protein-containing complex	CC	3.05525785276545E-06	CC protein-containing complex	group7814, group8525, group9097, group8496, group8591
subgenus Drosophila	GO:0070727	4.06550187771517E-08	0.99999999998157	3	4	cellular macromolecule localization	BP	4.79430287608793E-06	BP cellular macromolecule localization	group8518, group8809, group9250
subgenus Drosophila	GO:0050793	4.39231212533925E-08	0.999999999979567	3	4	regulation of developmental process	BP	5.10463057001383E-06	BP regulation of developmental process	group8809, group1728, group2649
subgenus Drosophila	GO:0010467	8.81859333777418E-08	0.999999999923736	3	5	gene expression	BP	1.01023285679445E-05	BP gene expression	group7814, group9250, group8591
subgenus Drosophila	GO:0051252	9.25568061165649E-08	0.999999999918651	3	5	regulation of RNA metabolic process	BP	1.04537046232216E-05	BP regulation of RNA metabolic process	group7814, group8525, group1728
subgenus Drosophila	GO:0009058	1.03500124556185E-06	0.999999996882003	3	10	biosynthetic process	BP	0.000115273263724	BP biosynthetic process	group7814, group7772, group8591
subgenus Drosophila	GO:0044427	3.24817400130292E-06	1	2	2	NA	NA	0.000356809689266	none	group2599, group9097
subgenus Drosophila	GO:0016043	4.52664369470408E-06	1	2	2	cellular component organization	BP	0.000433836447803	BP cellular component organization	group8809, group2599
subgenus Drosophila	GO:0071840	4.52664369470408E-06	1	2	2	cellular component organization or biogenesis	BP	0.000433836447803	BP cellular component organization or biogenesis	group8809, group2599
subgenus Drosophila	GO:0002376	4.70647117750436E-06	1	2	2	immune system process	BP	0.000433836447803	BP immune system process	group8809, group9097
subgenus Drosophila	GO:0002520	4.70647117750436E-06	1	2	2	immune system development	BP	0.000433836447803	BP immune system development	group8809, group9097
subgenus Drosophila	GO:0007049	4.70647117750436E-06	1	2	2	cell cycle	BP	0.000433836447803	BP cell cycle	group8809, group9097
subgenus Drosophila	GO:0019220	4.70647117750436E-06	1	2	2	regulation of phosphate metabolic process	BP	0.000433836447803	BP regulation of phosphate metabolic process	group8809, group9097
subgenus Drosophila	GO:0044430	4.70647117750436E-06	1	2	2	NA	NA	0.000433836447803	none	group8809, group9097
subgenus Drosophila	GO:0048534	4.70647117750436E-06	1	2	2	hematopoietic or lymphoid organ development	BP	0.000433836447803	BP hematopoietic or lymphoid organ development	group8809, group9097
subgenus Drosophila	GO:0048583	4.70647117750436E-06	1	2	2	regulation of response to stimulus	BP	0.000433836447803	BP regulation of response to stimulus	group8809, group9097
subgenus Drosophila	GO:0048731	4.70647117750436E-06	1	2	2	system development	BP	0.000433836447803	BP system development	group8809, group9097
subgenus Drosophila	GO:0048869	4.70647117750436E-06	1	2	2	cellular developmental process	BP	0.000433836447803	BP cellular developmental process	group8809, group9097
subgenus Drosophila	GO:0051174	4.70647117750436E-06	1	2	2	regulation of phosphorus metabolic process	BP	0.000433836447803	BP regulation of phosphorus metabolic process	group8809, group9097
subgenus Drosophila	GO:0065009	4.70647117750436E-06	1	2	2	regulation of molecular function	BP	0.000433836447803	BP regulation of molecular function	group8809, group9097
subgenus Drosophila	GO:0006725	4.92319700088123E-06	1	2	2	cellular aromatic compound metabolic process	BP	0.000433836447803	BP cellular aromatic compound metabolic process	group7814, group2599
subgenus Drosophila	GO:0046483	4.92319700088123E-06	1	2	2	heterocycle metabolic process	BP	0.000433836447803	BP heterocycle metabolic process	group7814, group2599
subgenus Drosophila	GO:0050896	4.92319700088123E-06	1	2	2	response to stimulus	BP	0.000433836447803	BP response to stimulus	group7814, group2599
subgenus Drosophila	GO:0090304	4.92319700088123E-06	1	2	2	nucleic acid metabolic process	BP	0.000433836447803	BP nucleic acid metabolic process	group7814, group2599
subgenus Drosophila	GO:1901360	4.92319700088123E-06	1	2	2	organic cyclic compound metabolic process	BP	0.000433836447803	BP organic cyclic compound metabolic process	group7814, group2599
subgenus Drosophila	GO:0097159	5.36820912696732E-06	1	2	2	organic cyclic compound binding	MF	0.000462878161174	MF organic cyclic compound binding	group8525, group8591
subgenus Drosophila	GO:1901363	5.36820912696732E-06	1	2	2	heterocyclic compound binding	MF	0.000462878161174	MF heterocyclic compound binding	group8525, group8591
subgenus Drosophila	GO:0051239	5.97776122197634E-06	1	2	2	regulation of multicellular organismal process	BP	0.000486234372043	BP regulation of multicellular organismal process	group8809, group1728
subgenus Drosophila	GO:2000026	5.97776122197634E-06	1	2	2	regulation of multicellular organismal development	BP	0.000486234372043	BP regulation of multicellular organismal development	group8809, group1728
subgenus Drosophila	GO:1901135	6.32572923203302E-06	1	2	2	carbohydrate derivative metabolic process	BP	0.000486234372043	BP carbohydrate derivative metabolic process	group8369, group1728
subgenus Drosophila	GO:0009889	6.43210555052066E-06	1	2	2	regulation of biosynthetic process	BP	0.000486234372043	BP regulation of biosynthetic process	group7814, group1728
subgenus Drosophila	GO:0010556	6.43210555052066E-06	1	2	2	regulation of macromolecule biosynthetic process	BP	0.000486234372043	BP regulation of macromolecule biosynthetic process	group7814, group1728
subgenus Drosophila	GO:0031326	6.43210555052066E-06	1	2	2	regulation of cellular biosynthetic process	BP	0.000486234372043	BP regulation of cellular biosynthetic process	group7814, group1728
subgenus Drosophila	GO:1903506	6.43210555052066E-06	1	2	2	regulation of nucleic acid-templated transcription	BP	0.000486234372043	BP regulation of nucleic acid-templated transcription	group7814, group1728
subgenus Drosophila	GO:2000112	6.43210555052066E-06	1	2	2	regulation of cellular macromolecule biosynthetic process	BP	0.000486234372043	BP regulation of cellular macromolecule biosynthetic process	group7814, group1728
subgenus Drosophila	GO:2001141	6.43210555052066E-06	1	2	2	regulation of RNA biosynthetic process	BP	0.000486234372043	BP regulation of RNA biosynthetic process	group7814, group1728
subgenus Drosophila	GO:0031984	6.55010785679495E-06	1	2	2	organelle subcompartment	CC	0.000486234372043	CC organelle subcompartment	group8518, group1728
subgenus Drosophila	GO:0065008	6.64415926338001E-06	1	2	2	regulation of biological quality	BP	0.000486234372043	BP regulation of biological quality	group8809, group2649
subgenus Drosophila	GO:0009893	6.6867561498033E-06	1	2	2	positive regulation of metabolic process	BP	0.000486234372043	BP positive regulation of metabolic process	group7814, group8809
subgenus Drosophila	GO:0010604	6.6867561498033E-06	1	2	2	positive regulation of macromolecule metabolic process	BP	0.000486234372043	BP positive regulation of macromolecule metabolic process	group7814, group8809
subgenus Drosophila	GO:0031325	6.6867561498033E-06	1	2	2	positive regulation of cellular metabolic process	BP	0.000486234372043	BP positive regulation of cellular metabolic process	group7814, group8809
subgenus Drosophila	GO:0048518	6.6867561498033E-06	1	2	2	positive regulation of biological process	BP	0.000486234372043	BP positive regulation of biological process	group7814, group8809
subgenus Drosophila	GO:0048522	6.6867561498033E-06	1	2	2	positive regulation of cellular process	BP	0.000486234372043	BP positive regulation of cellular process	group7814, group8809
